matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
151,23.10.2001,19:00,Al-Shoalah,Al Riyadh,3,3,
152,23.10.2001,19:00,Al Najma,Al-Hilal,0,0,
153,23.10.2001,19:00,Al Ahli SC,Al-Ittihad FC,1,2,
154,25.10.2001,19:00,Al-Shoalah,Al-Ettifaq,3,1,
155,25.10.2001,19:00,Al-Shabab,Al-Nassr,0,3,
156,26.10.2001,19:00,Al-Ittihad FC,Al Najma,4,0,
157,26.10.2001,19:00,Al Taee,Al Wehda,0,2,
158,26.10.2001,19:00,Al Riyadh,Al-Hilal,2,2,
159,26.10.2001,19:00,Al Ansar,Al Ahli SC,1,0,
160,31.10.2001,20:00,Al-Nassr,Al Riyadh,0,1,
161,31.10.2001,20:00,Al-Ettifaq,Al Najma,3,2,
162,31.10.2001,20:00,Al Wehda,Al-Ittihad FC,0,4,
163,31.10.2001,20:00,Al Ahli SC,Al-Hilal,2,4,
164,01.11.2001,20:00,Al-Shoalah,Al Ansar,2,1,
165,01.11.2001,20:00,Al Taee,Al-Shabab,1,2,
166,04.11.2001,20:00,Al-Nassr,Al-Ittihad FC,1,1,
167,04.11.2001,20:00,Al Taee,Al-Hilal,0,4,
168,05.11.2001,20:00,Al Ahli SC,Al Riyadh,3,0,
169,07.11.2001,20:00,Al Riyadh,Al Taee,3,2,
170,08.11.2001,20:00,Al-Shoalah,Al-Hilal,0,0,
171,08.11.2001,20:00,Al-Shabab,Al Wehda,1,1,
172,08.11.2001,20:00,Al Ansar,Al Najma,2,1,
173,08.11.2001,20:00,Al Ahli SC,Al-Nassr,2,1,
174,13.11.2001,20:00,Al-Nassr,Al-Shoalah,2,0,
175,13.11.2001,20:00,Al Wehda,Al Riyadh,2,2,
176,13.11.2001,20:00,Al Ahli SC,Al Taee,3,1,
177,14.11.2001,20:00,Al-Shabab,Al-Ittihad FC,0,0,
178,14.11.2001,20:00,Al-Ettifaq,Al Ansar,1,1,
179,18.11.2001,20:00,Al Riyadh,Al-Shabab,0,1,
180,18.11.2001,20:00,Al Najma,Al-Nassr,0,3,
181,18.11.2001,20:00,Al Ahli SC,Al Wehda,1,1,
182,19.11.2001,20:00,Al-Ittihad FC,Al Ansar,5,2,
183,19.11.2001,20:00,Al-Hilal,Al-Ettifaq,3,0,
184,19.11.2001,20:00,Al Taee,Al-Shoalah,0,1,
185,23.11.2001,20:00,Al Najma,Al Taee,2,1,
186,23.11.2001,20:00,Al Ahli SC,Al-Shabab,2,1,
187,24.11.2001,20:00,Al-Shoalah,Al Wehda,1,0,
188,24.11.2001,20:00,Al-Nassr,Al-Ettifaq,2,2,
189,29.11.2001,20:00,Al-Shabab,Al-Shoalah,0,0,
190,29.11.2001,20:00,Al-Ettifaq,Al Taee,3,1,
191,29.11.2001,20:00,Al Riyadh,Al-Ittihad FC,2,1,
192,29.11.2001,20:00,Al Najma,Al Wehda,1,1,
193,29.11.2001,20:00,Al Ansar,Al-Nassr,2,4,
194,03.12.2001,20:00,Al-Shabab,Al Najma,2,3,
195,03.12.2001,20:00,Al Wehda,Al-Ettifaq,1,2,
196,03.12.2001,20:00,Al Taee,Al Ansar,1,1,
197,04.12.2001,20:00,Al-Hilal,Al-Nassr,0,0,
198,11.12.2001,20:00,Al-Ittihad FC,Al-Hilal,1,1,
199,19.12.2001,20:00,Al-Ettifaq,Al-Hilal,0,4,
200,19.12.2001,20:00,Al Riyadh,Al Najma,4,2,
201,19.12.2001,20:00,Al Ansar,Al Wehda,2,2,
202,23.12.2001,20:00,Al Taee,Al-Nassr,2,1,
203,23.12.2001,20:00,Al Riyadh,Al-Ettifaq,2,1,
204,24.12.2001,20:00,Al Ansar,Al-Ittihad FC,1,2,
205,24.12.2001,20:00,Al Ahli SC,Al Najma,5,2,
206,27.12.2001,20:00,Al Taee,Al-Ittihad FC,2,1,
207,27.12.2001,20:00,Al Riyadh,Al Ansar,2,3,
208,28.12.2001,20:00,Al-Nassr,Al Wehda,3,0,
209,28.12.2001,20:00,Al Najma,Al-Shoalah,0,0,
210,28.12.2001,20:00,Al Ahli SC,Al-Ettifaq,2,0,
211,02.01.2002,20:00,Al Wehda,Al Taee,0,1,
212,03.01.2002,20:00,Al-Hilal,Al Riyadh,1,1,
213,03.01.2002,20:00,Al-Ettifaq,Al-Shoalah,1,0,
214,03.01.2002,20:00,Al Ahli SC,Al Ansar,3,1,
215,09.01.2002,20:00,Al-Hilal,Al Wehda,3,0,
216,09.01.2002,20:00,Al Ansar,Al-Shabab,0,1,
217,10.01.2002,16:00,Al-Ittihad FC,Al-Ettifaq,1,0,
218,10.01.2002,20:00,Al-Nassr,Al Ahli SC,2,0,
219,10.01.2002,20:00,Al-Ittihad FC,Al-Shoalah,2,0,
220,10.01.2002,20:00,Al-Hilal,Al-Shoalah,2,0,
221,10.01.2002,20:00,Al Wehda,Al-Shabab,0,1,
222,10.01.2002,20:00,Al Taee,Al Riyadh,2,4,
223,10.01.2002,20:00,Al Najma,Al Ansar,2,0,
224,13.01.2002,20:00,Al-Shabab,Al Taee,0,1,
225,13.01.2002,20:00,Al Najma,Al-Ettifaq,2,0,
226,14.01.2002,20:00,Al Riyadh,Al-Nassr,1,1,
227,15.01.2002,20:00,Al-Ittihad FC,Al Wehda,3,0,
228,15.01.2002,20:00,Al-Hilal,Al Ahli SC,2,0,
229,15.01.2002,20:00,Al Ansar,Al-Shoalah,1,1,
230,21.01.2002,20:00,Al-Shoalah,Al Ahli SC,0,2,
231,21.01.2002,20:00,Al-Shabab,Al-Hilal,1,2,
232,21.01.2002,20:00,Al Najma,Al-Ittihad FC,2,3,
233,21.01.2002,20:00,Al Ansar,Al-Ettifaq,2,2,
234,29.01.2002,20:00,Al-Hilal,Al Najma,3,2,
235,11.02.2002,20:00,Al-Hilal,Al Ansar,5,2,
236,11.02.2002,20:00,Al Taee,Al Ahli SC,0,0,
237,12.02.2002,20:00,Al-Shoalah,Al-Nassr,0,1,
238,12.02.2002,20:00,Al-Ittihad FC,Al-Shabab,3,2,
239,12.02.2002,20:00,Al Riyadh,Al Wehda,3,1,
240,27.02.2002,20:00,Al-Shabab,Al Riyadh,1,1,
241,28.02.2002,20:00,Al-Shoalah,Al Taee,1,1,
242,28.02.2002,20:00,Al-Nassr,Al Najma,4,1,
243,28.02.2002,20:00,Al Wehda,Al Ahli SC,1,2,
244,05.03.2002,20:00,Al-Shabab,Al Ahli SC,1,3,
245,06.03.2002,20:00,Al-Ittihad FC,Al Riyadh,10,3,
246,06.03.2002,20:00,Al Taee,Al Najma,0,1,
247,07.03.2002,20:00,Al-Ettifaq,Al-Nassr,0,1,
248,07.03.2002,20:00,Al Wehda,Al-Shoalah,2,0,
249,13.03.2002,20:00,Al-Nassr,Al Ansar,3,1,
250,13.03.2002,20:00,Al Taee,Al-Ettifaq,1,1,
251,14.03.2002,20:00,Al Wehda,Al Najma,4,4,
252,15.03.2002,20:00,Al-Shoalah,Al-Shabab,1,4,
253,16.03.2002,20:00,Al-Hilal,Al-Ittihad FC,1,1,
254,20.03.2002,20:00,Al Riyadh,Al-Shoalah,0,3,
255,20.03.2002,20:00,Al Ansar,Al Taee,0,7,
256,21.03.2002,20:00,Al-Nassr,Al-Hilal,3,2,
257,21.03.2002,20:00,Al-Ettifaq,Al Wehda,2,1,
258,21.03.2002,20:00,Al Najma,Al-Shabab,4,3,
259,28.03.2002,20:00,Al Wehda,Al Ansar,3,2,
260,28.03.2002,20:00,Al Najma,Al Riyadh,2,1,
261,28.03.2002,20:00,Al Ahli SC,Al-Shoalah,1,1,
262,29.03.2002,20:00,Al-Shabab,Al-Ettifaq,1,1,
263,29.03.2002,20:00,Al-Ittihad FC,Al-Nassr,3,2,
264,03.04.2002,19:00,Al Riyadh,Al Ahli SC,1,1,
265,05.04.2002,19:00,Al-Ettifaq,Al-Shabab,2,1,
266,06.04.2002,19:00,Al Ansar,Al-Hilal,1,6,
267,08.04.2002,19:00,Al-Ittihad FC,Al Ahli SC,4,1,
268,09.04.2002,19:00,Al-Nassr,Al-Shabab,0,0,
269,10.04.2002,19:00,Al-Hilal,Al Taee,6,0,
270,14.04.2002,14:00,Al-Nassr,Al Ahli SC,1,0,Quarter-finals
271,19.04.2002,14:00,Al-Ittihad FC,Al-Nassr,2,1,Semi-finals
272,01.05.2002,14:00,Al-Hilal,Al-Ittihad FC,2,1,Final
273,23.10.2002,19:00,Al-Hilal,Al-Raed,1,0,
274,23.10.2002,19:00,Al Taee,Al-Nassr,2,2,
275,24.10.2002,19:00,Al-Shoalah,Al-Ettifaq,3,2,
276,24.10.2002,19:00,Al-Ittihad FC,Al Qadisiya,1,0,
277,24.10.2002,19:00,Al Najma,Al Riyadh,0,1,
