matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
810,12.04.2006,20:30,Al-Ittihad FC,Al Ahli SC,3,0,Quarter-finals
811,16.04.2006,20:30,Al-Hilal,Al-Ittihad FC,2,1,Semi-finals
812,21.04.2006,20:35,Al-Shabab,Al-Hilal,3,0,Final
813,05.09.2006,20:40,Al-Shabab,Al-Faisaly,2,1,
814,08.09.2006,20:40,Al-Nassr,Al-Hazem,3,1,
815,09.09.2006,20:40,Al-Ittihad FC,Al Taee,3,2,
816,11.09.2006,20:40,Al Ahli SC,Al Wehda,2,0,
817,12.09.2006,20:40,Al-Ettifaq,Al-Nassr,2,1,
818,14.09.2006,20:40,Al-Hilal,Al Khaleej,3,0,
819,17.09.2006,20:40,Al Qadisiya,Al-Ettifaq,2,1,
820,20.09.2006,20:40,Al-Faisaly,Al Taee,0,2,
821,20.09.2006,20:40,Al Wehda,Al-Hilal,2,1,
822,23.09.2006,20:40,Al-Hazem,Al Ahli SC,2,1,
823,26.09.2006,22:00,Al Wehda,Al Khaleej,4,3,
824,26.09.2006,22:00,Al Taee,Al-Shabab,4,2,
825,28.09.2006,22:00,Al-Nassr,Al-Ittihad FC,1,3,
826,28.09.2006,22:00,Al Qadisiya,Al-Faisaly,1,3,
827,29.09.2006,22:15,Al-Hilal,Al-Hazem,1,0,
828,29.09.2006,22:15,Al Ahli SC,Al-Ettifaq,1,1,
829,01.10.2006,22:00,Al Khaleej,Al-Shabab,0,1,
830,04.10.2006,22:00,Al Taee,Al Qadisiya,3,3,
831,04.10.2006,22:20,Al-Nassr,Al Ahli SC,0,3,
832,04.10.2006,22:22,Al-Ettifaq,Al-Hilal,0,1,
833,05.10.2006,22:18,Al-Shabab,Al Wehda,3,1,
834,06.10.2006,22:20,Al-Hazem,Al Khaleej,1,0,
835,08.10.2006,22:19,Al-Ittihad FC,Al Qadisiya,2,1,
836,26.10.2006,20:40,Al Khaleej,Al-Ettifaq,2,5,
837,28.10.2006,19:40,Al-Nassr,Al Taee,1,0,
838,28.10.2006,19:40,Al Ahli SC,Al-Faisaly,0,0,
839,29.10.2006,19:40,Al-Hilal,Al-Ittihad FC,2,1,
840,29.10.2006,19:40,Al Wehda,Al-Hazem,5,2,
841,29.10.2006,19:40,Al Qadisiya,Al-Shabab,1,3,
842,03.11.2006,15:30,Al Taee,Al Ahli SC,4,2,
843,03.11.2006,19:40,Al-Nassr,Al Qadisiya,2,1,
844,03.11.2006,19:40,Al-Ittihad FC,Al Khaleej,2,0,
845,04.11.2006,19:40,Al-Shabab,Al-Hazem,2,1,
846,04.11.2006,19:40,Al-Faisaly,Al-Hilal,0,1,
847,04.11.2006,19:40,Al-Ettifaq,Al Wehda,0,1,
848,09.11.2006,15:30,Al-Hilal,Al Taee,3,2,
849,09.11.2006,19:36,Al Khaleej,Al-Faisaly,1,0,
850,09.11.2006,19:37,Al-Hazem,Al-Ettifaq,0,1,
851,09.11.2006,19:37,Al Ahli SC,Al Qadisiya,1,0,
852,10.11.2006,19:40,Al-Shabab,Al-Nassr,2,0,
853,10.11.2006,19:40,Al Wehda,Al-Ittihad FC,2,2,
854,16.11.2006,19:40,Al-Faisaly,Al-Nassr,2,2,
855,22.11.2006,19:40,Al-Faisaly,Al Wehda,1,2,
856,22.11.2006,19:40,Al Taee,Al Khaleej,0,1,
857,23.11.2006,19:40,Al Qadisiya,Al-Hilal,0,1,
858,24.11.2006,19:40,Al-Ittihad FC,Al-Hazem,2,0,
859,25.11.2006,19:40,Al-Ettifaq,Al-Shabab,3,3,
860,30.11.2006,19:40,Al-Hazem,Al-Faisaly,0,1,
861,30.11.2006,19:40,Al Wehda,Al Taee,1,0,
862,01.12.2006,19:40,Al Khaleej,Al Qadisiya,1,2,
863,02.12.2006,19:40,Al-Shabab,Al Ahli SC,0,2,
864,03.12.2006,19:40,Al-Ittihad FC,Al-Ettifaq,1,1,
865,03.12.2006,19:40,Al-Hilal,Al-Nassr,2,1,
866,07.12.2006,19:33,Al Taee,Al-Hazem,2,2,
867,07.12.2006,19:40,Al Qadisiya,Al Wehda,1,3,
868,07.12.2006,19:40,Al Ahli SC,Al-Hilal,2,3,
869,08.12.2006,19:40,Al-Shabab,Al-Ittihad FC,3,1,
870,08.12.2006,19:40,Al-Faisaly,Al-Ettifaq,0,3,
871,08.12.2006,19:40,Al Khaleej,Al-Nassr,1,1,
872,14.12.2006,17:50,Al Ahli SC,Al Khaleej,1,1,
873,14.12.2006,19:40,Al-Hilal,Al-Shabab,4,0,
874,14.12.2006,19:40,Al-Hazem,Al Qadisiya,2,3,
875,14.12.2006,19:40,Al-Ettifaq,Al Taee,2,2,
876,15.12.2006,19:40,Al-Faisaly,Al-Ittihad FC,1,5,
877,16.12.2006,19:40,Al-Nassr,Al Wehda,2,3,
878,19.12.2006,19:40,Al-Ettifaq,Al Qadisiya,0,0,
879,20.12.2006,15:30,Al Taee,Al-Ittihad FC,0,1,
880,20.12.2006,19:30,Al-Faisaly,Al-Shabab,1,0,
881,20.12.2006,19:40,Al Khaleej,Al-Hilal,0,0,
882,25.12.2006,19:40,Al-Hilal,Al Wehda,0,0,
883,25.12.2006,19:40,Al Ahli SC,Al-Hazem,3,2,
884,26.12.2006,19:35,Al-Shabab,Al Khaleej,3,1,
885,26.12.2006,19:35,Al Taee,Al-Faisaly,1,1,
886,26.12.2006,19:40,Al-Ittihad FC,Al-Nassr,3,0,
887,03.01.2007,19:40,Al-Shabab,Al Taee,1,1,
888,03.01.2007,19:40,Al Qadisiya,Al-Ittihad FC,1,0,
889,03.01.2007,19:40,Al Khaleej,Al Wehda,0,2,
890,03.01.2007,19:48,Al-Hazem,Al-Hilal,2,0,
891,04.02.2007,19:40,Al-Hazem,Al-Nassr,2,1,
892,04.02.2007,19:40,Al Wehda,Al Ahli SC,1,0,
893,07.02.2007,19:40,Al-Hilal,Al-Ettifaq,2,1,
894,07.02.2007,19:40,Al Qadisiya,Al Taee,0,2,
895,08.02.2007,20:00,Al-Nassr,Al-Faisaly,1,1,
896,10.02.2007,20:10,Al Wehda,Al-Shabab,1,0,
897,10.02.2007,20:10,Al Khaleej,Al-Hazem,1,0,
898,15.02.2007,20:10,Al-Hazem,Al Wehda,2,2,
899,15.02.2007,20:15,Al-Ettifaq,Al Khaleej,2,0,
900,15.02.2007,20:20,Al-Shabab,Al Qadisiya,3,0,
901,16.02.2007,20:10,Al-Ittihad FC,Al-Hilal,1,2,
902,17.02.2007,16:00,Al Taee,Al-Nassr,0,2,
903,17.02.2007,20:10,Al-Faisaly,Al Ahli SC,1,1,
904,08.03.2007,20:25,Al Wehda,Al-Ettifaq,2,1,
905,08.03.2007,20:25,Al Khaleej,Al-Ittihad FC,2,8,
906,09.03.2007,20:25,Al Qadisiya,Al-Nassr,1,2,
907,09.03.2007,20:25,Al Ahli SC,Al Taee,3,2,
908,11.03.2007,20:10,Al-Hilal,Al-Faisaly,2,0,
909,12.03.2007,20:10,Al-Hazem,Al-Shabab,1,3,
910,15.03.2007,20:10,Al Qadisiya,Al Ahli SC,0,1,
911,16.03.2007,20:10,Al-Ittihad FC,Al Wehda,1,0,
912,16.03.2007,20:10,Al-Faisaly,Al Khaleej,1,4,
913,17.03.2007,20:10,Al-Nassr,Al-Shabab,0,3,
914,17.03.2007,20:10,Al-Ettifaq,Al-Hazem,0,3,
915,22.03.2007,20:10,Al-Nassr,Al-Ettifaq,3,3,
916,22.03.2007,20:10,Al-Ittihad FC,Al Ahli SC,3,0,
917,22.03.2007,20:10,Al-Faisaly,Al Qadisiya,0,2,
918,26.03.2007,20:00,Al Khaleej,Al Taee,1,2,
919,26.03.2007,20:10,Al-Shabab,Al-Ettifaq,2,0,
920,26.03.2007,20:10,Al-Hilal,Al Qadisiya,3,0,
921,27.03.2007,20:20,Al-Hazem,Al-Ittihad FC,1,2,
922,27.03.2007,20:20,Al Wehda,Al-Faisaly,1,1,
923,27.03.2007,20:30,Al Ahli SC,Al-Nassr,1,1,
924,31.03.2007,16:00,Al Taee,Al-Hilal,0,2,
925,11.04.2007,20:20,Al-Ettifaq,Al Ahli SC,2,2,
926,12.04.2007,20:20,Al Taee,Al Wehda,1,4,
927,12.04.2007,20:20,Al Qadisiya,Al Khaleej,1,1,
928,13.04.2007,20:20,Al-Faisaly,Al-Hazem,4,2,
929,15.04.2007,20:20,Al-Nassr,Al-Hilal,0,1,
930,15.04.2007,20:20,Al-Ettifaq,Al-Ittihad FC,2,3,
931,15.04.2007,20:20,Al Ahli SC,Al-Shabab,1,5,
932,26.04.2007,20:35,Al-Hazem,Al Taee,2,1,
933,26.04.2007,20:35,Al-Ettifaq,Al-Faisaly,4,2,
934,26.04.2007,20:35,Al Wehda,Al Qadisiya,2,2,
935,26.04.2007,20:42,Al-Nassr,Al Khaleej,0,0,
936,30.04.2007,20:35,Al-Ittihad FC,Al-Shabab,2,1,
937,30.04.2007,20:35,Al-Hilal,Al Ahli SC,3,0,
938,04.05.2007,20:45,Al-Shabab,Al-Hilal,3,1,
939,04.05.2007,20:45,Al Ahli SC,Al-Ittihad FC,1,1,
940,10.05.2007,20:45,Al-Ittihad FC,Al-Faisaly,5,2,
941,10.05.2007,20:45,Al Wehda,Al-Nassr,2,0,
942,10.05.2007,20:45,Al Taee,Al-Ettifaq,1,0,
943,10.05.2007,20:45,Al Qadisiya,Al-Hazem,0,0,
944,10.05.2007,20:45,Al Khaleej,Al Ahli SC,1,1,
945,18.05.2007,19:00,Al Wehda,Al-Shabab,2,1,Quarter-finals
946,24.05.2007,19:00,Al-Ittihad FC,Al Wehda,3,2,Semi-finals
947,01.06.2007,19:00,Al-Hilal,Al-Ittihad FC,1,2,Final
948,23.08.2007,20:40,Al-Ittihad FC,Najran,2,0,
949,23.08.2007,20:40,Al-Hilal,Al Watani,5,0,
950,23.08.2007,20:40,Al Qadisiya,Al Wehda,0,4,
951,24.08.2007,20:40,Al-Hazem,Al Ahli SC,1,0,
952,24.08.2007,20:42,Al-Shabab,Al-Nassr,1,1,
953,30.08.2007,20:40,Al Wehda,Al-Hazem,3,2,
954,30.08.2007,20:40,Al Watani,Al-Ittihad FC,0,0,
955,31.08.2007,20:15,Najran,Al Qadisiya,2,1,
956,31.08.2007,20:40,Al Taee,Al-Shabab,0,0,
957,13.09.2007,22:15,Al-Shabab,Al Ahli SC,1,3,
958,13.09.2007,22:15,Al-Ettifaq,Al Wehda,4,1,
959,14.09.2007,22:15,Al-Ittihad FC,Al Qadisiya,1,0,
960,14.09.2007,22:15,Al-Hazem,Najran,1,1,
961,14.09.2007,22:15,Al Watani,Al-Nassr,1,0,
962,20.09.2007,22:15,Najran,Al-Ettifaq,0,1,
963,20.09.2007,22:15,Al-Nassr,Al-Ittihad FC,1,5,
964,20.09.2007,22:15,Al Taee,Al Watani,2,2,
965,20.09.2007,22:15,Al Qadisiya,Al-Hazem,1,1,
966,22.09.2007,22:30,Al-Shabab,Al Wehda,2,1,
967,25.09.2007,22:00,Al-Nassr,Al Taee,1,1,
968,25.09.2007,22:00,Al-Hazem,Al-Ittihad FC,1,2,
969,25.09.2007,22:00,Al-Ettifaq,Al Qadisiya,5,1,
970,26.09.2007,22:15,Najran,Al-Shabab,1,2,
971,26.09.2007,22:15,Al Watani,Al Ahli SC,3,2,
972,29.09.2007,22:15,Al-Ittihad FC,Al Taee,5,2,
973,29.09.2007,22:15,Al-Hazem,Al-Ettifaq,1,2,
974,30.09.2007,22:15,Al-Hilal,Najran,1,2,
975,30.09.2007,22:15,Al Ahli SC,Al-Nassr,0,3,
976,18.10.2007,19:50,Al-Shabab,Al-Hazem,1,2,
977,18.10.2007,19:50,Al-Nassr,Al Wehda,1,0,
978,18.10.2007,19:50,Al-Ittihad FC,Al-Ettifaq,1,0,
979,18.10.2007,19:50,Al Qadisiya,Al-Hilal,2,4,
980,19.10.2007,19:50,Najran,Al Watani,0,1,
981,19.10.2007,19:50,Al Taee,Al Ahli SC,0,2,
982,25.10.2007,19:50,Al-Nassr,Najran,2,1,
983,25.10.2007,19:50,Al Watani,Al Qadisiya,2,1,
984,25.10.2007,19:50,Al Ahli SC,Al-Ittihad FC,0,2,
985,28.10.2007,19:50,Al-Hilal,Al-Hazem,2,0,
986,28.10.2007,19:50,Al-Ettifaq,Al-Shabab,0,0,
987,28.10.2007,19:50,Al Wehda,Al Taee,1,0,
988,05.11.2007,19:43,Al Qadisiya,Al-Shabab,2,5,
989,05.11.2007,19:45,Al-Ittihad FC,Al Watani,1,1,
990,06.11.2007,19:40,Al-Nassr,Al-Hilal,1,3,
991,06.11.2007,19:45,Al Ahli SC,Al-Ettifaq,2,2,
992,29.11.2007,19:30,Al Wehda,Najran,6,0,
993,29.11.2007,19:30,Al Watani,Al-Shabab,0,1,
994,29.11.2007,19:30,Al Ahli SC,Al Qadisiya,0,0,
995,30.11.2007,19:30,Al-Hazem,Al Taee,2,1,
996,01.12.2007,19:30,Al-Hilal,Al-Ittihad FC,0,0,
997,01.12.2007,19:30,Al-Ettifaq,Al-Nassr,1,4,
998,05.12.2007,19:34,Al-Nassr,Al-Shabab,2,2,
999,05.12.2007,19:34,Al Watani,Al-Hilal,0,1,
1000,05.12.2007,19:34,Al Taee,Al-Ettifaq,0,0,
1001,06.12.2007,19:30,Najran,Al-Ittihad FC,2,2,
1002,06.12.2007,19:38,Al Wehda,Al Qadisiya,2,1,
1003,06.12.2007,19:38,Al Ahli SC,Al-Hazem,1,1,
1004,10.12.2007,19:33,Al-Hazem,Al Watani,1,0,
1005,10.12.2007,19:33,Al Qadisiya,Al-Nassr,0,2,
1006,10.12.2007,19:36,Al-Hilal,Al-Ettifaq,2,0,
1007,10.12.2007,19:40,Al Ahli SC,Al Wehda,1,1,
1008,11.12.2007,19:30,Al Taee,Najran,3,1,
1009,11.12.2007,19:32,Al-Shabab,Al-Ittihad FC,3,2,
1010,14.12.2007,19:40,Al-Hilal,Al-Nassr,1,1,
1011,14.12.2007,19:40,Al-Hazem,Al Wehda,0,1,
1012,14.12.2007,19:40,Al-Ettifaq,Al Ahli SC,1,2,
1013,15.12.2007,19:30,Al-Shabab,Al Taee,2,0,
1014,15.12.2007,19:30,Al Qadisiya,Najran,2,1,
1015,27.12.2007,19:36,Najran,Al-Hazem,2,2,
1016,27.12.2007,19:45,Al-Nassr,Al Watani,2,1,
1017,28.12.2007,19:40,Al Taee,Al-Hilal,0,2,
1018,28.12.2007,19:45,Al Ahli SC,Al-Shabab,1,3,
1019,29.12.2007,19:45,Al Wehda,Al-Ittihad FC,0,1,
1020,02.01.2008,19:45,Al Watani,Al Taee,1,0,
1021,02.01.2008,19:46,Al-Hilal,Al Ahli SC,1,3,
1022,03.01.2008,19:45,Al Wehda,Al-Shabab,0,2,
1023,03.01.2008,19:47,Al-Ittihad FC,Al-Nassr,4,0,
1024,04.01.2008,19:40,Al-Hazem,Al Qadisiya,2,0,
1025,07.01.2008,19:45,Al Wehda,Al-Hilal,0,1,
1026,07.01.2008,19:49,Al-Ettifaq,Al Taee,2,0,
1027,07.01.2008,19:52,Al Ahli SC,Najran,4,0,
1028,12.01.2008,19:35,Al Taee,Al-Nassr,1,3,
1029,12.01.2008,19:50,Al-Ittihad FC,Al-Hazem,2,0,
1030,12.01.2008,19:53,Al-Hilal,Al Wehda,3,1,
1031,13.01.2008,19:55,Al-Shabab,Najran,2,2,
1032,13.01.2008,19:55,Al Ahli SC,Al Watani,3,2,
1033,13.01.2008,19:58,Al Qadisiya,Al-Ettifaq,0,2,
1034,18.01.2008,19:54,Al Wehda,Al-Ettifaq,1,2,
1035,18.01.2008,19:56,Al-Hilal,Al Taee,2,0,
1036,18.01.2008,20:03,Al-Ittihad FC,Al Ahli SC,1,0,
1037,24.01.2008,15:45,Al Watani,Al Wehda,0,0,
1038,24.01.2008,19:52,Al Taee,Al-Ittihad FC,1,2,
1039,24.01.2008,20:00,Al-Shabab,Al Qadisiya,2,1,
1040,24.01.2008,20:00,Al-Nassr,Al Ahli SC,2,1,
1041,24.01.2008,20:00,Al-Ettifaq,Al-Hazem,2,3,
1042,25.01.2008,15:50,Najran,Al-Hilal,0,2,
1043,18.02.2008,20:15,Al-Ettifaq,Najran,2,1,
1044,18.02.2008,20:15,Al Ahli SC,Al-Hilal,1,2,
1045,18.02.2008,20:17,Al Wehda,Al Watani,2,1,
1046,18.02.2008,20:17,Al Qadisiya,Al-Ittihad FC,1,3,
1047,22.02.2008,20:14,Al Wehda,Al-Nassr,1,1,
1048,22.02.2008,20:17,Al-Hazem,Al-Shabab,0,0,
1049,22.02.2008,20:17,Al Ahli SC,Al Taee,3,1,
1050,22.02.2008,20:18,Al-Hilal,Al Qadisiya,0,0,
1051,22.02.2008,20:18,Al-Ettifaq,Al-Ittihad FC,1,2,
1052,22.02.2008,20:21,Al Watani,Najran,1,1,
1053,05.03.2008,20:25,Al-Ittihad FC,Al Wehda,1,1,
1054,13.03.2008,20:20,Najran,Al-Nassr,5,4,
1055,13.03.2008,20:20,Al-Shabab,Al-Ettifaq,2,1,
1056,13.03.2008,20:20,Al-Hazem,Al-Hilal,0,1,
1057,13.03.2008,20:20,Al Taee,Al Wehda,1,1,
1058,13.03.2008,20:20,Al Qadisiya,Al Watani,1,1,
1059,30.03.2008,20:25,Najran,Al Taee,2,2,
1060,30.03.2008,20:25,Al-Nassr,Al Qadisiya,0,1,
1061,30.03.2008,20:25,Al-Ittihad FC,Al-Shabab,1,1,
1062,30.03.2008,20:25,Al-Ettifaq,Al-Hilal,1,1,
1063,30.03.2008,20:25,Al Wehda,Al Ahli SC,1,0,
1064,30.03.2008,20:25,Al Watani,Al-Hazem,2,1,
1065,04.04.2008,20:25,Najran,Al Ahli SC,2,0,
1066,04.04.2008,20:25,Al-Shabab,Al-Hilal,1,1,
1067,04.04.2008,20:25,Al-Nassr,Al-Hazem,2,1,
1068,04.04.2008,20:25,Al-Ettifaq,Al Watani,1,1,
1069,04.04.2008,20:25,Al Taee,Al Qadisiya,0,0,
1070,09.04.2008,20:25,Al-Hilal,Al-Shabab,0,0,
1071,09.04.2008,20:25,Al-Hazem,Al-Nassr,1,1,
1072,09.04.2008,20:25,Al Watani,Al-Ettifaq,0,1,
1073,09.04.2008,20:25,Al Qadisiya,Al Taee,1,4,
1074,13.04.2008,20:25,Najran,Al Wehda,3,1,
1075,13.04.2008,20:25,Al-Shabab,Al Watani,6,0,
1076,13.04.2008,20:25,Al-Nassr,Al-Ettifaq,0,3,
1077,13.04.2008,20:25,Al-Ittihad FC,Al-Hilal,0,1,
1078,13.04.2008,20:25,Al Taee,Al-Hazem,1,3,
1079,13.04.2008,20:25,Al Qadisiya,Al Ahli SC,1,1,
1080,13.09.2008,22:15,Al-Shabab,Najran,2,1,
1081,13.09.2008,22:15,Al-Ittihad FC,Al-Raed,5,1,
1082,13.09.2008,22:15,Al-Ettifaq,Al Watani,3,0,
1083,14.09.2008,22:15,Al-Nassr,Al Ahli SC,2,1,
1084,14.09.2008,22:15,Al Wehda,Al-Hazem,2,1,
1085,14.09.2008,22:15,Abha,Al-Hilal,0,3,
1086,18.09.2008,22:15,Najran,Abha,1,1,
1087,18.09.2008,22:15,Al-Hilal,Al-Raed,2,0,
1088,18.09.2008,22:15,Al-Hazem,Al-Ettifaq,1,1,
1089,18.09.2008,22:15,Al Wehda,Al-Nassr,1,2,
1090,18.09.2008,22:15,Al Watani,Al-Ittihad FC,1,2,
1091,18.09.2008,22:15,Al Ahli SC,Al-Shabab,2,1,
1092,04.10.2008,20:00,Najran,Al-Hilal,2,1,
1093,04.10.2008,20:00,Al-Shabab,Al Wehda,4,2,
1094,04.10.2008,20:00,Al-Raed,Al Watani,3,2,
1095,04.10.2008,20:00,Al-Ittihad FC,Al-Hazem,3,0,
1096,04.10.2008,20:00,Al-Ettifaq,Al-Nassr,1,1,
1097,04.10.2008,20:00,Abha,Al Ahli SC,0,0,
1098,08.10.2008,20:00,Al-Shabab,Al-Ettifaq,1,0,
1099,08.10.2008,20:00,Al-Nassr,Al-Ittihad FC,2,2,
1100,08.10.2008,20:00,Al-Hazem,Al-Raed,1,0,
1101,08.10.2008,20:00,Al Watani,Al-Hilal,1,3,
1102,08.10.2008,20:00,Al Ahli SC,Najran,2,0,
1103,08.10.2008,20:00,Abha,Al Wehda,2,2,
1104,12.10.2008,19:55,Al-Raed,Al-Nassr,0,1,
1105,12.10.2008,19:55,Al-Ittihad FC,Al-Shabab,2,1,
1106,12.10.2008,19:55,Al-Hilal,Al Ahli SC,0,0,
1107,12.10.2008,19:55,Al Wehda,Najran,2,1,
1108,12.10.2008,19:55,Al Watani,Al-Hazem,3,3,
1109,14.10.2008,19:55,Al-Ettifaq,Abha,3,1,
1110,17.10.2008,19:50,Najran,Al-Hazem,2,1,
1111,17.10.2008,19:50,Al Wehda,Al-Raed,3,1,
1112,17.10.2008,19:50,Al Ahli SC,Al-Ittihad FC,1,2,
1113,18.10.2008,19:55,Al-Hilal,Al-Nassr,2,1,
1114,22.10.2008,19:45,Najran,Al-Ettifaq,0,2,
1115,22.10.2008,19:45,Al-Shabab,Al-Raed,1,4,
1116,22.10.2008,19:45,Al-Nassr,Al Watani,1,0,
1117,22.10.2008,19:45,Al-Hazem,Al-Hilal,1,2,
1118,22.10.2008,19:45,Al Ahli SC,Al Wehda,0,0,
1119,22.10.2008,19:45,Abha,Al-Ittihad FC,1,2,
1120,29.10.2008,19:45,Al-Raed,Abha,3,1,
1121,29.10.2008,19:45,Al-Ittihad FC,Najran,3,2,
1122,29.10.2008,19:45,Al Watani,Al-Shabab,0,2,
1123,30.10.2008,19:45,Al-Nassr,Al-Hazem,3,1,
1124,03.11.2008,19:45,Abha,Al Watani,2,2,
1125,04.11.2008,19:45,Najran,Al-Nassr,1,0,
1126,04.11.2008,19:45,Al-Shabab,Al-Hazem,2,0,
1127,04.11.2008,19:45,Al-Hilal,Al Wehda,0,0,
1128,04.11.2008,19:45,Al Ahli SC,Al-Ettifaq,1,1,
1129,20.11.2008,19:40,Al Watani,Najran,3,1,
1130,21.11.2008,19:40,Al-Ittihad FC,Al Wehda,2,1,
1131,21.11.2008,19:40,Al-Hazem,Abha,2,1,
1132,22.11.2008,19:40,Al-Nassr,Al-Shabab,0,0,
1133,22.11.2008,19:40,Al-Ettifaq,Al-Hilal,0,2,
1134,24.11.2008,19:45,Al Ahli SC,Al Watani,2,0,
1135,26.11.2008,19:40,Al-Hilal,Al-Shabab,2,0,
1136,26.11.2008,19:40,Al-Ettifaq,Al-Ittihad FC,1,1,
1137,30.11.2008,19:40,Al-Raed,Al-Shabab,0,4,
1138,30.11.2008,19:40,Al-Ittihad FC,Abha,3,0,
1139,30.11.2008,19:40,Al-Hilal,Al-Hazem,3,0,
1140,30.11.2008,19:40,Al-Ettifaq,Najran,1,1,
1141,04.12.2008,19:30,Al Watani,Al Wehda,0,2,
1142,04.12.2008,19:40,Al-Shabab,Abha,5,0,
1143,04.12.2008,19:40,Al-Raed,Al-Ettifaq,1,2,
1144,04.12.2008,19:40,Al-Ittihad FC,Al-Hilal,0,0,
1145,11.12.2008,15:05,Al-Hilal,Abha,4,1,
1146,11.12.2008,15:15,Al-Raed,Al-Ittihad FC,0,2,
1147,11.12.2008,15:20,Al-Hazem,Al Wehda,3,1,
1148,11.12.2008,15:40,Al Watani,Al-Ettifaq,0,1,
1149,11.12.2008,19:35,Najran,Al-Shabab,0,2,
1150,11.12.2008,19:35,Al Ahli SC,Al-Nassr,2,0,
1151,15.12.2008,19:40,Al-Shabab,Al Ahli SC,3,2,
1152,15.12.2008,19:40,Al-Raed,Al-Hilal,0,2,
1153,15.12.2008,19:40,Al-Ittihad FC,Al Watani,7,2,
1154,15.12.2008,19:40,Abha,Najran,1,0,
1155,19.12.2008,15:15,Al-Nassr,Al-Ettifaq,1,0,
1156,19.12.2008,15:45,Al Watani,Al-Raed,3,1,
1157,19.12.2008,19:40,Al Wehda,Al-Shabab,1,1,
1158,19.12.2008,19:40,Al Ahli SC,Abha,2,1,
1159,20.12.2008,15:15,Al-Hazem,Al-Ittihad FC,3,3,
1160,20.12.2008,19:42,Al-Hilal,Najran,7,0,
1161,19.01.2009,20:00,Najran,Al Ahli SC,1,4,
1162,19.01.2009,20:00,Al-Raed,Al-Hazem,1,0,
1163,19.01.2009,20:00,Al-Ittihad FC,Al-Nassr,1,0,
1164,19.01.2009,20:00,Al-Hilal,Al Watani,0,0,
1165,19.01.2009,20:00,Al-Ettifaq,Al-Shabab,2,1,
1166,19.01.2009,20:00,Al Wehda,Abha,4,1,
1167,23.01.2009,15:40,Al-Raed,Najran,0,1,
1168,23.01.2009,15:40,Al-Hazem,Al-Shabab,1,1,
1169,23.01.2009,20:00,Al-Nassr,Al-Hilal,0,2,
1170,24.01.2009,20:00,Al-Ittihad FC,Al Ahli SC,1,2,
1171,24.01.2009,20:00,Al-Ettifaq,Al Wehda,4,0,
1172,28.01.2009,20:00,Najran,Al Wehda,2,2,
1173,28.01.2009,20:00,Abha,Al-Ettifaq,1,0,
1174,28.01.2009,20:05,Al-Shabab,Al-Ittihad FC,0,4,
1175,28.01.2009,20:05,Al-Nassr,Al-Raed,1,0,
1176,28.01.2009,20:05,Al-Hazem,Al Watani,3,0,
1177,28.01.2009,20:05,Al Ahli SC,Al-Hilal,0,1,
1178,05.02.2009,20:10,Al-Ettifaq,Al-Hazem,0,0,
1179,05.03.2009,20:25,Al-Shabab,Al-Hilal,1,1,
1180,05.03.2009,20:25,Al Watani,Al-Nassr,1,2,
1181,05.03.2009,20:30,Al-Ittihad FC,Al-Ettifaq,3,0,
1182,05.03.2009,20:30,Al Wehda,Al Ahli SC,0,2,
1183,12.03.2009,20:30,Najran,Al-Raed,2,1,
1184,12.03.2009,20:30,Al-Hazem,Al Ahli SC,1,1,
1185,12.03.2009,20:30,Al Watani,Abha,0,0,
1186,17.03.2009,20:30,Al-Raed,Al Ahli SC,2,3,
1187,18.03.2009,20:30,Al-Nassr,Al Wehda,3,1,
1188,23.03.2009,20:30,Najran,Al-Ittihad FC,1,4,
1189,23.03.2009,20:30,Al-Shabab,Al Watani,2,2,
1190,23.03.2009,20:30,Al-Hazem,Al-Nassr,1,0,
1191,23.03.2009,20:30,Al-Ettifaq,Al Ahli SC,0,0,
1192,23.03.2009,20:30,Al Wehda,Al-Hilal,0,1,
1193,23.03.2009,20:30,Abha,Al-Raed,0,1,
1194,29.03.2009,20:30,Al Wehda,Al-Ettifaq,1,0,
1195,29.03.2009,20:30,Abha,Al-Nassr,2,2,
1196,04.04.2009,20:35,Najran,Al Watani,2,0,
1197,04.04.2009,20:35,Al-Shabab,Al-Nassr,2,1,
1198,04.04.2009,20:35,Al-Hilal,Al-Ettifaq,2,0,
1199,04.04.2009,20:35,Al Wehda,Al-Ittihad FC,1,3,
1200,04.04.2009,20:35,Al Ahli SC,Al-Raed,3,2,
1201,04.04.2009,20:35,Abha,Al-Hazem,0,0,
1202,08.04.2009,16:35,Al-Raed,Al Wehda,6,3,
1203,08.04.2009,20:35,Al-Nassr,Abha,0,1,
1204,08.04.2009,20:35,Al-Hazem,Najran,2,1,
1205,08.04.2009,20:35,Al Watani,Al Ahli SC,2,2,
1206,12.04.2009,20:40,Al-Nassr,Najran,1,0,
1207,12.04.2009,20:40,Al-Hilal,Al-Ittihad FC,1,2,
1208,12.04.2009,20:40,Al-Ettifaq,Al-Raed,1,1,
1209,12.04.2009,20:40,Al Wehda,Al Watani,4,0,
1210,12.04.2009,20:40,Al Ahli SC,Al-Hazem,1,0,
1211,12.04.2009,20:40,Abha,Al-Shabab,2,1,
1212,24.04.2009,19:00,Abha,Al-Raed,1,1,
1213,30.04.2009,19:00,Al-Raed,Abha,3,2,
1214,13/09/2008,10:15:00 PM,Al-Shabab,Najran,2,1,
